IdCas,TRCID,CASRN,NAME,INCHIKEY
140885,1321,140-88-5,ethyl propenoate,JIGUQPWFLRLWPJ-UHFFFAOYSA-N
141322,1333,141-32-2,butyl 2-propenoate,CQEYYJKEWSMYFG-UHFFFAOYSA-N
141786,1344,141-78-6,ethyl ethanoate,XEKOWRVHYACXOJ-UHFFFAOYSA-N
141935,1350,141-93-5,"1,3-diethylbenzene",AFZZYIJIWUTJFO-UHFFFAOYSA-N
141979,1351,141-97-9,ethyl 3-oxobutanoate,XYIBRDXRRQCHLP-UHFFFAOYSA-N
142289,1355,142-28-9,"1,3-dichloropropane",YHRUOJUYPBUZOS-UHFFFAOYSA-N
142290,1356,142-29-0,cyclopentene,LPIQUOYDBNQMRZ-UHFFFAOYSA-N
142621,1362,142-62-1,hexanoic acid,FUZZWVXGSFPDMH-UHFFFAOYSA-N
142825,1367,142-82-5,heptane,IMNFDUFMRHMDMM-UHFFFAOYSA-N
142847,1368,142-84-7,dipropylamine,WEHWNAOGRSTTBQ-UHFFFAOYSA-N
142927,1372,142-92-7,hexyl ethanoate,AOGQPLXWSUTHQB-UHFFFAOYSA-N
142961,1373,142-96-1,dibutyl ether,DURPTKYDGMDSBL-UHFFFAOYSA-N
143088,1376,143-08-8,nonan-1-ol,ZWRUINPWMLAQRD-UHFFFAOYSA-N
156592,1571,156-59-2,"(Z)-1,2-dichloroethene",KFUSEUYYWQURPO-UPHRSURJSA-N
1634044,1680,1634-04-4,2-methoxy-2-methylpropane,BZLVMXJERCGZMT-UHFFFAOYSA-N
1640897,1690,1640-89-7,ethylcyclopentane,IFTRQJLVEBNKJK-UHFFFAOYSA-N
1678917,1748,1678-91-7,ethylcyclohexane,IIEWJVIFRVWJOD-UHFFFAOYSA-N
1678939,1750,1678-93-9,butylcyclohexane,GGBJHURWWWLEQH-UHFFFAOYSA-N
2016571,2105,2016-57-1,1-decanamine,MHZGKXUYDGKKIU-UHFFFAOYSA-N
2040951,2132,2040-95-1,butylcyclopentane,ZAGHKONXGGSVDV-UHFFFAOYSA-N
2040962,2133,2040-96-2,propylcyclopentane,KDIAMAVWIJYWHN-UHFFFAOYSA-N
2050922,2153,2050-92-2,dipentylamine,JACMPVXHEARCBO-UHFFFAOYSA-N
2216333,2311,2216-33-3,3-methyloctane,SEEOMASXHIJCDV-UHFFFAOYSA-N
2216344,2312,2216-34-4,4-methyloctane,DOGIHOCMZJUJNR-UHFFFAOYSA-N
287923,2737,287-92-3,cyclopentane,RGSFGYAAUTVSQA-UHFFFAOYSA-N
291645,2766,291-64-5,cycloheptane,DMEGYFMYUHOHGS-UHFFFAOYSA-N
292648,2770,292-64-8,cyclooctane,WJTCGQSWYFHTAC-UHFFFAOYSA-N
3221612,2939,3221-61-2,2-methyloctane,ZUBZATZOEPUUQF-UHFFFAOYSA-N
3522949,3108,3522-94-9,"2,2,5-trimethylhexane",HHOSMYBYIHNXNO-UHFFFAOYSA-N
4351546,3511,4351-54-6,cyclohexyl methanoate,VUXKVKAHWOVIDN-UHFFFAOYSA-N
462066,3622,462-06-6,fluorobenzene,PYLWMHQQBFSUBP-UHFFFAOYSA-N
462953,3630,462-95-3,diethoxymethane,KLKFAASOGCDTDT-UHFFFAOYSA-N
463821,3638,463-82-1,"2,2-dimethylpropane",CRSOQBOWXPBRES-UHFFFAOYSA-N
464062,3639,464-06-2,"2,2,3-trimethylbutane",ZISSAWUMDACLOM-UHFFFAOYSA-N
496117,3741,496-11-7,indane,PQNFLJBBNBOBRQ-UHFFFAOYSA-N
502443,3774,502-44-3,6-hexanolactone,PAPBSGBWRJIAAV-UHFFFAOYSA-N
502567,3776,502-56-7,5-nonanone,WSGCRAOTEDLMFQ-UHFFFAOYSA-N
