doi,title,journal,year,source_json,dataset_number,method,phase,standard_state,solute_name,solvent_name,solute_inchi,solvent_inchi,solute_smiles,solvent_smiles,temperature,gamma_inf,ln_gamma_inf,idac_basis,solute_org_num,solvent_can,solute_can,pair,net_new
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,25.0,Chromatography,Liquid,Pure compound,benzene,diethylene glycol,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",c1ccccc1,OCCOCCO,333.2,7.33,1.9919755158985601,declared in the record,,OCCOCCO,c1ccccc1,"('c1ccccc1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,25.0,Chromatography,Liquid,Pure compound,benzene,diethylene glycol,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",c1ccccc1,OCCOCCO,348.2,7.21,1.9754689512968577,declared in the record,,OCCOCCO,c1ccccc1,"('c1ccccc1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,25.0,Chromatography,Liquid,Pure compound,benzene,diethylene glycol,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",c1ccccc1,OCCOCCO,363.2,7.05,1.9530276168241774,declared in the record,,OCCOCCO,c1ccccc1,"('c1ccccc1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,26.0,Chromatography,Liquid,Pure compound,toluene,diethylene glycol,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",Cc1ccccc1,OCCOCCO,333.2,11.22,2.4176979000945504,declared in the record,,OCCOCCO,Cc1ccccc1,"('Cc1ccccc1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,26.0,Chromatography,Liquid,Pure compound,toluene,diethylene glycol,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",Cc1ccccc1,OCCOCCO,348.2,10.94,2.392425796993835,declared in the record,,OCCOCCO,Cc1ccccc1,"('Cc1ccccc1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,26.0,Chromatography,Liquid,Pure compound,toluene,diethylene glycol,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",Cc1ccccc1,OCCOCCO,363.2,10.53,2.354228326145884,declared in the record,,OCCOCCO,Cc1ccccc1,"('Cc1ccccc1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,27.0,Chromatography,Liquid,Pure compound,ethylbenzene,diethylene glycol,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CCc1ccccc1,OCCOCCO,333.2,16.8,2.8213788864092133,declared in the record,,OCCOCCO,CCc1ccccc1,"('CCc1ccccc1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,27.0,Chromatography,Liquid,Pure compound,ethylbenzene,diethylene glycol,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CCc1ccccc1,OCCOCCO,348.2,16.12,2.7800607370784824,declared in the record,,OCCOCCO,CCc1ccccc1,"('CCc1ccccc1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,27.0,Chromatography,Liquid,Pure compound,ethylbenzene,diethylene glycol,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3","InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",CCc1ccccc1,OCCOCCO,363.2,15.21,2.7219531062712017,declared in the record,,OCCOCCO,CCc1ccccc1,"('CCc1ccccc1', 'OCCOCCO')",True
10.1016/j.jct.2013.05.011,Activity coefficients at infinite dilution of organic solutes in diethylene glycol and triethylene glycol from gas-liquid chromatography,J. Chem. Thermodyn.,2013,10.1016/j.jct.2013.05.011,28.0,Chromatography,Liquid,Pure compound,pentane,triethylene glycol,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3","InChI=1S/C6H14O4/c7-1-3-9-5-6-10-4-2-8/h7-8H,1-6H2",CCCCC,OCCOCCOCCO,333.2,33.71,3.5177945292459696,declared in the record,,OCCOCCOCCO,CCCCC,"('CCCCC', 'OCCOCCOCCO')",True
