set,axis,stratum,unit,convention,n,n_solutes,n_solvents,n_pairs,mse,var_m,boundable_at_headline_cell,n_sources,top_source,top_source_share_of_stratum_squared_error,b_insuff_up,b_insuff_up_ml,b_closure_lb,margin,margin_ml,b_insuff_exceeds_var_m,adaptive_n_bins,b_insuff_up_adaptive,margin_adaptive,P_boot,bootstrap_reduces_to_one_way,pair_conditional_var,pair_conditional_rows,pair_conditional_groups,share_of_squared_error,share_of_rows,test_a_boundable,loso_testable,loso_n_deletions,loso_n_undefined,loso_n_leaving_unboundable,loso_margin_min,loso_margin_max,loso_worst_source,loso_worst_margin,test_b_sign_survives_loso,test_b_strict_remainder_boundable,admissible_this_cell,admissible_this_cell_strict,cells_admissible,cells_reported,admissible_in_every_cell,admissible_in_every_cell_strict,ci90_excludes_zero,direction,licenses,reason_not_admissible,margin_ci90_lo,margin_ci90_hi,margin_ci90
broad_477,solute_family,mono_alcohol,row,full,39,5,15,21,1.5622,3.1576,False,5,10.1016/j.tca.2012.02.005,0.5456,0.5631,0.4502,0.9991,0.4361,0.6617,False,3,0.8629,-0.1637,0.966,False,0.023,24.0,6.0,0.0668,0.0818,False,True,5,0,5,0.1136,1.6023,10.1016/j.tca.2012.02.005,0.1136,True,False,False,False,0,4,False,False,True,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=39 < 40; sign holds, but 5 of 5 deletions leave n < 40: passes (b) and fails its strict variant",0.044,2.555,
broad_477,solute_family,mono_alcohol,row,res,39,5,15,21,1.3936,3.1576,False,5,10.1016/j.tca.2012.02.005,0.4649,0.5631,0.4502,0.8306,0.2675,0.4932,False,3,0.8629,-0.3323,0.964,False,0.023,24.0,6.0,0.0599,0.0818,False,True,5,0,5,0.1656,1.367,10.1016/j.tca.2012.02.005,0.1656,True,False,False,False,0,4,False,False,True,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=39 < 40; sign holds, but 5 of 5 deletions leave n < 40: passes (b) and fails its strict variant",0.086,2.097,
broad_477,solute_family,mono_alcohol,pair,full,21,5,15,21,2.0719,2.1582,False,5,10.1016/j.tca.2012.02.005,0.764,0.4688,0.312,1.6031,1.1342,1.448,False,3,0.8763,0.3194,0.983,False,,,,0.1401,0.1135,False,True,5,1,5,1.0944,1.9481,10.1016/j.fluid.2015.11.037,1.0944,False,False,False,False,0,4,False,False,True,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=21 < 40; 1 of 5 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.tca.2012.02.005), so the sign is not verifiable",0.256,2.888,
broad_477,solute_family,mono_alcohol,pair,res,21,5,15,21,1.728,2.1582,False,5,10.1016/j.tca.2012.02.005,0.6962,0.4691,0.3124,1.2589,0.7897,1.1032,False,3,0.8763,-0.0245,0.975,False,,,,0.1274,0.1135,False,True,5,1,5,0.6893,1.5458,10.1016/j.fluid.2015.11.037,0.6893,False,False,False,False,0,4,False,False,True,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=21 < 40; 1 of 5 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.tca.2012.02.005), so the sign is not verifiable",0.197,2.315,
broad_477,solute_family,nitrile,row,full,2,1,2,2,0.0272,0.0054,False,2,10.1016/j.jct.2018.05.003,0.7006,,,,,,,3,,,,True,,,,0.0001,0.0042,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solute_family,nitrile,row,res,2,1,2,2,0.1241,0.0054,False,2,10.1016/j.jct.2018.05.003,0.9761,,,,,,,3,,,,True,,,,0.0003,0.0042,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solute_family,nitrile,pair,full,2,1,2,2,0.0272,0.0054,False,2,10.1016/j.jct.2018.05.003,0.7006,,,,,,,3,,,,True,,,,0.0002,0.0108,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solute_family,nitrile,pair,res,2,1,2,2,0.1241,0.0054,False,2,10.1016/j.jct.2018.05.003,0.9761,,,,,,,3,,,,True,,,,0.0009,0.0108,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solute_family,nitro,row,full,1,1,1,1,0.0,0.0,False,1,10.1016/j.jct.2018.05.003,1.0,,,,,,,3,,,,True,,,,0.0,0.0021,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=1 < 40; the fixed cell is undefined at n=1,,,
broad_477,solute_family,nitro,row,res,1,1,1,1,0.068,0.0,False,1,10.1016/j.jct.2018.05.003,1.0,,,,,,,3,,,,True,,,,0.0001,0.0021,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=1 < 40; the fixed cell is undefined at n=1,,,
broad_477,solute_family,nitro,pair,full,1,1,1,1,0.0,0.0,False,1,10.1016/j.jct.2018.05.003,1.0,,,,,,,3,,,,True,,,,0.0,0.0054,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=1 < 40; the fixed cell is undefined at n=1,,,
broad_477,solute_family,nitro,pair,res,1,1,1,1,0.068,0.0,False,1,10.1016/j.jct.2018.05.003,1.0,,,,,,,3,,,,True,,,,0.0002,0.0054,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=1 < 40; the fixed cell is undefined at n=1,,,
broad_477,solute_family,tertiary_amine,row,full,4,2,3,4,0.0756,0.7129,False,1,10.1016/j.tca.2012.02.005,1.0,,,,,,,3,,,,False,,,,0.0003,0.0084,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=4 < 40; the fixed cell is undefined at n=4,,,
broad_477,solute_family,tertiary_amine,row,res,4,2,3,4,0.2776,0.7129,False,1,10.1016/j.tca.2012.02.005,1.0,,,,,,,3,,,,False,,,,0.0012,0.0084,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=4 < 40; the fixed cell is undefined at n=4,,,
