axis,stratum,unit,convention,n_bins,within_bin_variance,n,rows_per_bin,mse,b_insuff_up,margin,P_boot,margin_ci90_lo,margin_ci90_hi,cell_defined
solute_family,alkane,row,full,3,Be,129,43.0,2.4913,0.8483,0.7947,0.942,-0.057,2.121,True
solute_family,alkane,row,full,4,ML,129,32.25,2.4913,0.629,1.2332,0.994,0.582,2.312,True
solute_family,alkane,row,full,4,Be,129,32.25,2.4913,0.6491,1.193,0.988,0.534,2.278,True
solute_family,alkane,row,full,5,ML,129,25.8,2.4913,0.536,1.4193,0.996,0.899,2.365,True
solute_family,alkane,row,full,5,Be,129,25.8,2.4913,0.5574,1.3764,0.996,0.768,2.365,True
solute_family,alkane,row,full,6,ML,129,21.5,2.4913,0.4581,1.5751,0.997,1.043,2.477,True
solute_family,alkane,row,full,6,Be,129,21.5,2.4913,0.48,1.5313,0.997,0.996,2.483,True
solute_family,alkane,row,full,7,ML,129,18.43,2.4913,0.4149,1.6615,1.0,1.165,2.591,True
solute_family,alkane,row,full,7,Be,129,18.43,2.4913,0.4381,1.615,0.997,1.073,2.542,True
solute_family,alkane,row,full,8,ML,129,16.12,2.4913,0.3631,1.7651,0.999,1.229,2.606,True
solute_family,alkane,row,full,8,Be,129,16.12,2.4913,0.3868,1.7177,0.999,1.125,2.593,True
solute_family,alkane,row,full,10,ML,129,12.9,2.4913,0.2772,1.9369,1.0,1.355,2.722,True
solute_family,alkane,row,full,10,Be,129,12.9,2.4913,0.3003,1.8906,0.999,1.25,2.674,True
solute_family,alkane,row,full,12,ML,129,10.75,2.4913,0.2013,2.0886,0.999,1.409,2.732,True
solute_family,alkane,row,full,12,Be,129,10.75,2.4913,0.2216,2.0481,1.0,1.388,2.727,True
solute_family,alkane,row,full,16,ML,129,8.06,2.4913,0.1543,2.1828,1.0,1.471,2.802,True
solute_family,alkane,row,full,16,Be,129,8.06,2.4913,0.1761,2.139,1.0,1.466,2.793,True
solute_family,alkane,row,full,20,ML,129,6.45,2.4913,0.1311,2.2291,1.0,1.562,2.866,True
