sample_id,ln_x2_final,T,T_m,dH_fus,tau_12,tau_21,alpha,eta,denominator,d_lnx2_dTm,d_lnx2_ddH,d_lnx2_dtau12,d_lnx2_dtau21,d_lnx2_dalpha,d_lnx2_dTm_abs,d_lnx2_ddH_abs,d_lnx2_dtau12_abs,d_lnx2_dtau21_abs,d_lnx2_dalpha_abs,abs_error
1646,-5.645275,323.15,685.0527,18619.598,1.2931757,0.83833975,0.20332545,-4.531707747160042,0.9839841455689091,-0.004849804302467377,-0.0001998322413408153,-1.0045324222643428,-0.7075568480991236,0.6106238650759981,0.004849804302467377,0.0001998322413408153,1.0045324222643428,0.7075568480991236,0.6106238650759981,2.5556716268027353
1647,-8.243381,278.15,698.04663,28485.32,0.4863138,0.3857607,0.26701316,-1.7348488010594636,0.9995437459319175,-0.0070346161824603,-0.00026023581352156586,-0.9997796225045108,-0.809231798900384,0.13432174977733966,0.0070346161824603,0.00026023581352156586,0.9997796225045108,0.809231798900384,0.13432174977733966,2.9044494971364907
1648,-8.014489,283.15,698.04663,28485.314,0.48113337,0.37825492,0.26701292,-1.7116656710425302,0.9994340597365604,-0.007035386737774425,-0.0002526240775405872,-0.9997175077886423,-0.8126663640111534,0.1294245750259231,0.007035386737774425,0.0002526240775405872,0.9997175077886423,0.8126663640111534,0.1294245750259231,2.843332952957802
1649,-7.793494,288.15,698.04663,28485.314,0.47613332,0.3710101,0.2670127,-1.6892095876403461,0.9993033540786558,-0.007036306943684293,-0.00024528100886078296,-0.9996410686886642,-0.8159892623483368,0.12477896717275389,0.007036306943684293,0.00024528100886078296,0.9996410686886642,0.8159892623483368,0.12477896717275389,2.803543521644917
1650,-7.579986,293.15,698.04663,28485.314,0.47130385,0.36401242,0.26701245,-1.6674386162898098,0.9991486585820691,-0.00703739635614303,-0.00023819338649010794,-0.9995477358445453,-0.8192050645621961,0.12036891162575167,0.00703739635614303,0.00023819338649010794,0.9995477358445453,0.8192050645621961,0.12036891162575167,2.746785436552771
1651,-7.3735876,298.15,698.04663,28485.32,0.46663624,0.35724947,0.2670122,-1.6463147281439932,0.9989667522768534,-0.007038679309580236,-0.00023134890135041253,-0.9994346186171875,-0.8223175780928407,0.11618004645496283,0.007038679309580236,0.00023134890135041253,0.9994346186171875,0.8223175780928407,0.11618004645496283,2.7025980813120176
1652,-7.1739373,303.15,698.04663,28485.314,0.4621223,0.3507093,0.26701203,-1.6258011580292746,0.9987541491706258,-0.0070401761384316554,-0.00022473608111796685,-0.9992984758134086,-0.8253302761292296,0.11219898822239342,0.0070401761384316554,0.00022473608111796685,0.9992984758134086,0.8253302761292296,0.11219898822239342,2.6448018209971345
1653,-6.980707,308.15,698.04663,28485.314,0.45775545,0.344382,0.2670118,-1.6058673031181607,0.9985071123487537,-0.007041917921456683,-0.00021834421597049803,-0.9991357082200112,-0.828245704812453,0.10841423869051471,0.007041917921456683,0.00021834421597049803,0.9991357082200112,0.828245704812453,0.10841423869051471,2.595475402956271
1654,-6.7935853,313.15,698.04663,28485.314,0.45352823,0.33825663,0.26701155,-1.5864783112219087,0.9982216488049788,-0.007043931713531055,-0.00021216329583476743,-0.9989423248239124,-0.831066623687607,0.10481423730115794,0.007043931713531055,0.00021216329583476743,0.9989423248239124,0.831066623687607,0.10481423730115794,2.54957996366905
1655,-6.612276,318.15,698.04663,28485.32,0.44943392,0.33232382,0.26701134,-1.5676027146638336,0.9978935021157264,-0.007046249519915419,-0.00020618395398653043,-0.998713923272154,-0.8337948803455502,0.10138890669693855,0.007046249519915419,0.00020618395398653043,0.998713923272154,0.8337948803455502,0.10138890669693855,2.5060613424779197
1656,-4.7757916,293.15,690.4872,21596.018,-0.16345483,-0.157391,0.30704907,0.6520401134159517,1.0054976156698894,-0.005418403599701651,-0.0002348132670203772,-0.979428191132752,-1.074069412614455,0.025371086923805602,0.005418403599701651,0.0002348132670203772,0.979428191132752,1.074069412614455,0.025371086923805602,1.4388164533721426
1657,-4.632095,298.15,690.4872,21596.018,-0.16160148,-0.15532003,0.30701947,0.6429123531131832,1.006258330183226,-0.005414307376958672,-0.00022779780427262247,-0.9763431981602574,-1.068854490034737,0.024603991036819227,0.005414307376958672,0.00022779780427262247,0.9763431981602574,1.068854490034737,0.024603991036819227,1.4427512959701287
1658,-4.4932556,303.15,690.4872,21596.018,-0.15979818,-0.15330735,0.30699006,0.6339488293965294,1.0070901935589676,-0.00540983512209937,-0.00022100271895241966,-0.97292951831945,-1.0632845035383214,0.023861374941677838,0.00540983512209937,0.00022100271895241966,0.97292951831945,1.0632845035383214,0.023861374941677838,1.3848802465666037
1659,-4.3590436,308.15,690.4872,21596.018,-0.15804306,-0.15135044,0.30696076,0.6251359506200734,1.007995873107974,-0.005404974410697374,-0.0002144173759782227,-0.9691690011460257,-1.0573378010476244,0.023141648308516734,0.005404974410697374,0.0002144173759782227,0.9691690011460257,1.0573378010476244,0.023141648308516734,1.385560871001407
1660,-4.229245,313.15,690.4872,21596.018,-0.15633324,-0.14944628,0.30693159,0.6164573722421544,1.0089777040457586,-0.005399714858307783,-0.00020803192346507537,-0.965044215452126,-1.0509935983036118,0.02244316873870495,0.005399714858307783,0.00020803192346507537,0.965044215452126,1.0509935983036118,0.02244316873870495,1.3701772734799071
1661,-4.103658,318.15,690.4872,21596.018,-0.15466636,-0.1475921,0.30690256,0.6078985220834012,1.0100377196660157,-0.00539404795896007,-0.00020183722001296324,-0.9605385047412187,-1.0442324642074883,0.021764479824530628,0.00539404795896007,0.00020183722001296324,0.9605385047412187,1.0442324642074883,0.021764479824530628,1.3000196828955604
1662,-3.982093,323.15,690.4872,21596.018,-0.15304072,-0.14578593,0.30687365,0.599448142768731,1.0111776524710525,-0.005387967076728017,-0.00019582477478838646,-0.9556361248696469,-1.0370368035574935,0.021104459746251605,0.005387967076728017,0.00019582477478838646,0.9556361248696469,1.0370368035574935,0.021104459746251605,1.2964216434724376
1663,-3.864372,328.15,690.4872,21596.018,-0.15145484,-0.14402595,0.30684486,0.5910959735797761,1.012398883101145,-0.005381467711173726,-0.00018998670277723057,-0.9503224117750141,-1.0293906634438885,0.020462110206058398,0.005381467711173726,0.00018998670277723057,0.9503224117750141,1.0293906634438885,0.020462110206058398,1.2516237947546929
1664,-3.7503273,333.15,690.4872,21596.018,-0.14990662,-0.14230984,0.3068162,0.5828297475462823,1.0137023563648626,-0.005374547929211071,-0.0001843156890100609,-0.9445839327636032,-1.0212795368973988,0.019836363945932297,0.005374547929211071,0.0001843156890100609,0.9445839327636032,1.0212795368973988,0.019836363945932297,1.2259065186698166
1665,-11.051328,283.15,694.5261,23320.191,3.4140096,2.4373312,0.13126099,-13.258705729049211,0.9997896365117656,-0.005816159531578702,-0.00025166062380686615,-1.0001384621494864,-0.49396889363155166,4.315353841137362,0.005816159531578702,0.00025166062380686615,1.0001384621494864,0.49396889363155166,4.315353841137362,2.814791971481879
1666,-10.572582,293.15,694.5261,23320.191,3.3352163,2.3144562,0.13126397,-12.85483204165022,0.9996708056410606,-0.00581685089847408,-0.00023719526213357152,-1.0002151816358653,-0.5139538346878301,3.9551625517891806,0.00581685089847408,0.00023719526213357152,1.0002151816358653,0.5139538346878301,3.9551625517891806,2.466504833073788
1667,-10.12312,303.15,694.5261,23320.191,3.2616186,2.1996927,0.13126692,-12.477606607960032,0.9994991402487324,-0.005817849950850806,-0.0002236947093580029,-1.0003251116804155,-0.5331201029983336,3.627815068547492,0.005817849950850806,0.0002236947093580029,1.0003251116804155,0.5331201029983336,3.627815068547492,2.1791640003935138
1668,-9.700277,313.15,694.5261,23320.191,3.19272,2.0922627,0.13126984,-12.124109423842423,0.9992571979847573,-0.005819258580972676,-0.00021106935392212762,-1.0004787746356516,-0.5515249982575072,3.3299887132100636,0.005819258580972676,0.00021106935392212762,1.0004787746356516,0.5515249982575072,3.3299887132100636,1.888900720735582
1669,-9.301691,323.15,694.5261,23320.191,3.128082,1.9914854,0.13127273,-11.791824669705836,0.9989237629483086,-0.0058212010161904785,-0.00019924106535761305,-1.0006888010638737,-0.5692258325245063,3.0587644561321006,0.0058212010161904785,0.00019924106535761305,1.0006888010638737,0.5692258325245063,3.0587644561321006,1.5518244426158103
1670,-4.258655,273.15,691.324,24033.16,-0.91846734,-0.9446535,0.33203983,4.7838635131614335,1.0676500954372456,-0.005665113902130405,-0.00024947970663070093,-0.9229917387777602,-1.604654423112528,1.0739866456669358,0.005665113902130405,0.00024947970663070093,0.9229917387777602,1.604654423112528,1.0739866456669358,0.5696586660437566
1671,-4.0978374,278.15,691.324,24033.16,-0.911528,-0.9383004,0.33200094,4.721060441630772,1.0784099884689722,-0.005608589926785918,-0.0002396505137534708,-0.911322075718055,-1.5696407349211225,1.0355976324996925,0.005608589926785918,0.0002396505137534708,0.911322075718055,1.5696407349211225,1.0355976324996925,0.5586260322555248
1672,-3.9442549,283.15,691.324,24033.16,-0.90480727,-0.9321366,0.3319622,4.658232828309941,1.0902096615449666,-0.005547886440211047,-0.00023005257075840529,-0.8987182031874783,-1.5327886949602296,0.9968953618222792,0.005547886440211047,0.00023005257075840529,0.8987182031874783,1.5327886949602296,0.9968953618222792,0.5298870483985905
1673,-3.7976055,288.15,691.324,24033.16,-0.8982923,-0.9261516,0.33192357,4.595276892906578,1.1030463402697408,-0.00548332302774634,-0.00022069296081189557,-0.8852318605608792,-1.4942456967725617,0.9579916816419309,0.00548332302774634,0.00022069296081189557,0.8852318605608792,1.4942456967725617,0.9579916816419309,0.5000799717137632
1674,-3.6575933,293.15,691.324,24033.16,-0.8919735,-0.92033696,0.3318851,4.532124194291853,1.1169039579683082,-0.005415290504722175,-0.00021158043966918675,-0.8709295214024088,-1.4541960814016477,0.9190240435598932,0.005415290504722175,0.00021158043966918675,0.8709295214024088,1.4541960814016477,0.9190240435598932,0.452880693877332
1675,-3.523931,298.15,691.324,24033.16,-0.88584113,-0.91468316,0.33184677,4.468719462585742,1.1317526331093823,-0.005344241507665067,-0.00020272476671423222,-0.8558906470307558,-1.412852873954471,0.8801427733266877,0.005344241507665067,0.00020272476671423222,0.8558906470307558,1.412852873954471,0.8801427733266877,0.4134097869536957
1676,-3.3963366,303.15,691.324,24033.16,-0.8798856,-0.90918326,0.3318086,4.405040028427178,1.1475501363338536,-0.005270671151323677,-0.00019413576307622052,-0.8402041471766666,-1.3704518537087007,0.841511783997135,0.005270671151323677,0.00019413576307622052,0.8402041471766666,1.3704518537087007,0.841511783997135,0.371586105973432
1677,-7.60552,293.15,684.38086,21952.71,1.5701478,1.0987378,0.19258514,-5.683656977876094,0.9971712635193831,-0.005653438280634414,-0.00023521530440223092,-1.0010789759902696,-0.6394749347339708,0.9815108210716428,0.005653438280634414,0.00023521530440223092,1.0010789759902696,0.6394749347339708,0.9815108210716428,2.0448771532780388
1678,-7.2381754,303.15,684.38086,21952.71,1.535485,1.0454223,0.19259527,-5.5189957881793,0.9960339295227909,-0.005659893730959567,-0.0002218954863173823,-1.0014714692301394,-0.6550308009117803,0.899609674720158,0.005659893730959567,0.0002218954863173823,1.0014714692301394,0.6550308009117803,0.899609674720158,1.8759461220856688
1679,-6.89315,313.15,684.38086,21952.707,1.5030332,0.99551713,0.19260526,-5.3633782295639705,0.9945577132976634,-0.005668293903667262,-0.00020948541436416484,-1.001962560093049,-0.6700269460823068,0.825996889289662,0.005668293903667262,0.00020948541436416484,1.001962560093049,0.6700269460823068,0.825996889289662,1.5156374648197648
